x,y,x error,y error
0.0808906384,0.9508079919,0.0155502108,0.5688996278
0.2524021005,1.4331431652,0.7395913796,0.0055605816
0.4875037872,1.8147884632,0.3690245969,0.0473140709
0.5801205372,2.1949642245,0.5913016526,0.6906189183
0.8155656674,2.557814108,0.4041366591,0.3219695096
1.0441704547,2.996301812,0.6883609067,0.2903953909
1.2423970705,3.4201515215,0.1519736974,0.2559247692
1.3378707664,3.7584888571,0.0617047139,0.52136407
1.6520319993,4.1701462334,0.5511782917,0.3244179543
1.7457399342,4.6289632789,0.3317965465,0.199860672
2.0354355561,5.0171633252,0.8221892775,0.6905679768
2.2636631827,5.4362190028,0.5836867753,0.6710770971
2.4545449177,5.8163553333,0.8686208171,0.099682288
2.5112610822,6.1530758375,0.8333081421,0.5178300126
2.8670411305,6.5515668701,0.07939768,0.7177049331
3.031140545,7.008111613,0.3286717245,0.815835428
3.1514754631,7.443752762,0.7937874149,0.7006106393
3.4869700903,7.761809801,0.6496340844,0.8732823425
3.6090783926,8.1736012405,0.9532376342,0.6155012762
3.8490993239,8.5533209439,0.5139669876,0.0256209751
4.0570463934,8.9534550071,0.8713386112,0.7892671004
4.2033593896,9.374357665,0.2430560128,0.3935606796
4.3216108372,9.7862916819,0.9512293627,0.82571453
4.6396962069,10.1881386623,0.833128816,0.9089636134
4.7670659195,10.6199363487,0.2588937858,0.4367434867
5.0284351248,10.9850628247,0.7753252562,0.9340956516
5.200024789,11.4183694786,0.1028559685,0.9081624548
5.4972945798,11.8269512117,0.7340921399,0.6350022596
5.5485493259,12.2246167166,0.7104155184,0.3505454466
5.7103244895,12.6151414108,0.7504898859,0.9564999063
6.0394709332,13.0010154761,0.5647212458,0.4758725304
6.1612251656,13.4118204669,0.455884032,0.4365533306
6.4824245399,13.797560469,0.7966079665,0.7067530546
6.657865776,14.1874628019,0.6117198374,0.8500890399
6.8608137026,14.561268787,0.6511420533,0.5903591695
6.9181695691,15.0493241396,0.8017330517,0.0847474609
7.1937477831,15.3913324384,0.5616806818,0.9796370026
7.3897344443,15.8142613149,0.6618763874,0.6677263998
7.6937229942,16.2229629598,0.2215130562,0.0157542315
7.7924398645,16.6373101031,0.4084486202,0.1326388721
8.0451736683,17.0483462432,0.6424061311,0.5959330776
8.1821153751,17.3721686924,0.4153005758,0.2162271016
8.3057027351,17.7973307671,0.8133963521,0.8870476212
8.5208902094,18.2103482255,0.5680413048,0.4447197448
8.7232781952,18.6497702982,0.2458069504,0.3095918866
8.9630244335,18.9728854236,0.2135657079,0.6549421481
9.1624644926,19.4385015111,0.7238407298,0.1410511765
9.3448548644,19.773561284,0.8061479973,0.785495586
9.6687167094,20.1971690728,0.3194266369,0.234257591
9.8551204201,20.6092999691,0.5280126317,0.4496582448
10.0749937153,21.024206113,0.7704773305,0.6435157135
